row,col,corr
agreeableness,folderdepthMode,0.0841844429
agreeableness,X..switches,0.0502663085
agreeableness,filesperfolderMean,0.0084410896
agreeableness,branchingfactorMean,-0.0120912906
agreeableness,X..leaves,-0.0126996574
agreeableness,unfiledfiles,-0.0150140784
agreeableness,folderdepthMean,-0.0157414915
agreeableness,X..empty.folders,-0.0220556278
agreeableness,filedepthMean,-0.0523955924
agreeableness,folderdepthModecount,-0.0683084255
agreeableness,totalfiles,-0.0843348505
agreeableness,totalfolders,-0.0849432173
agreeableness,collectionbytes,-0.1003044795
agreeableness,folderdepthMax,-0.1044493442
agreeableness,foldersattoplevel,-0.1118308598
agreeableness,rootnodecount,-0.1298953078
conscientiousness,filesperfolderMean,0.0219196424
conscientiousness,X..leaves,0.0006046798
conscientiousness,X..empty.folders,-0.0010583015
conscientiousness,branchingfactorMean,-0.0013605295
conscientiousness,folderdepthMode,-0.0478256514
conscientiousness,X..switches,-0.0849575105
conscientiousness,folderdepthMax,-0.0885492184
conscientiousness,folderdepthMean,-0.0929695177
conscientiousness,rootnodecount,-0.0952186691
conscientiousness,collectionbytes,-0.1041560938
conscientiousness,filedepthMean,-0.1224476574
conscientiousness,folderdepthModecount,-0.1236162682
conscientiousness,unfiledfiles,-0.1294433343
conscientiousness,totalfiles,-0.1330295537
conscientiousness,totalfolders,-0.1375646522
conscientiousness,foldersattoplevel,-0.1420504234
extraversion,folderdepthMode,0.0956575157
extraversion,filedepthMean,0.058503125
extraversion,X..leaves,0.0351609691
extraversion,branchingfactorMean,0.0336836174
extraversion,folderdepthMean,0.0190578362
extraversion,X..switches,0.0184668955
extraversion,folderdepthModecount,0.0088666085
extraversion,totalfolders,-0.0039888494
extraversion,totalfiles,-0.0150689867
extraversion,X..empty.folders,-0.015587707
extraversion,rootnodecount,-0.0207425941
extraversion,folderdepthMax,-0.0316002556
extraversion,filesperfolderMean,-0.0364905856
extraversion,collectionbytes,-0.0401839647
extraversion,unfiledfiles,-0.079688334
extraversion,foldersattoplevel,-0.0960965119
openness,folderdepthMode,0.0740251176
openness,branchingfactorMean,0.0401578629
openness,X..leaves,0.0389455501
openness,rootnodecount,0.0179852619
openness,filedepthMean,0.002879243
openness,unfiledfiles,-0.0057854525
openness,filesperfolderMean,-0.0127292848
openness,folderdepthMean,-0.0448555752
openness,collectionbytes,-0.0525840696
openness,folderdepthModecount,-0.0582832108
openness,totalfiles,-0.0619794941
openness,totalfolders,-0.064707198
openness,X..empty.folders,-0.0696395777
openness,X..switches,-0.0741026225
openness,folderdepthMax,-0.0998317066
openness,foldersattoplevel,-0.1422424475
sodtotal,rootnodecount,0.0850205442
sodtotal,branchingfactorMean,0.0658898661
sodtotal,X..leaves,0.0641839796
sodtotal,unfiledfiles,0.0612506293
sodtotal,filedepthMean,0.0283603631
sodtotal,totalfolders,0.0279338915
sodtotal,X..empty.folders,0.0277235852
sodtotal,folderdepthModecount,0.0265197929
sodtotal,collectionbytes,0.0243799613
sodtotal,foldersattoplevel,0.0187406191
sodtotal,totalfiles,0.0113014981
sodtotal,folderdepthMax,0.001767001
sodtotal,folderdepthMean,-0.0101642404
sodtotal,folderdepthMode,-0.0171663526
sodtotal,filesperfolderMean,-0.03717411
sodtotal,X..switches,-0.0734241982
stability,folderdepthMode,0.03697942
stability,X..empty.folders,0.0177410871
stability,filesperfolderMean,-0.0110311069
stability,branchingfactorMean,-0.0208696617
stability,X..leaves,-0.0211677997
stability,folderdepthMean,-0.0213168687
stability,unfiledfiles,-0.0323582497
stability,filedepthMean,-0.0463604628
stability,folderdepthMax,-0.0476353327
stability,foldersattoplevel,-0.0519477916
stability,totalfiles,-0.0667829175
stability,totalfolders,-0.0675282625
stability,X..switches,-0.0760251962
stability,folderdepthModecount,-0.0823838458
stability,rootnodecount,-0.1255792296
stability,collectionbytes,-0.1322242138
