row,col,corr
extraversion,X..switches,0.09681697107
sodtotal,rootnodecount,0.08274804475
openness,filesperfolderMean,0.07157395963
extraversion,folderdepthMode,0.06146155608
sodtotal,filedepthMean,0.06080553683
openness,folderdepthMode,0.05944448882
sodtotal,totalfolders,0.05587494296
sodtotal,folderdepthModecount,0.05399557685
extraversion,filedepthMean,0.05398670895
sodtotal,totalfiles,0.0511446851
sodtotal,branchingfactorMean,0.0511446851
sodtotal,X..leaves,0.05090656552
sodtotal,foldersattoplevel,0.04724937782
extraversion,folderdepthMean,0.04567562044
stability,totalfiles,0.04183062798
stability,folderdepthMode,0.03685577262
sodtotal,folderdepthMean,0.03665340751
stability,filesperfolderMean,0.03524172532
sodtotal,folderdepthMax,0.03028912397
conscientiousness,X..empty.folders,0.02940749891
extraversion,totalfiles,0.02774488907
extraversion,folderdepthMax,0.02458549263
sodtotal,folderdepthMode,0.02398782978
sodtotal,collectionbytes,0.02335272785
stability,totalfolders,0.01885914353
extraversion,totalfolders,0.01768376306
agreeableness,X..switches,0.01568871361
agreeableness,filesperfolderMean,0.01558025302
stability,unfiledfiles,0.01538838898
openness,filedepthMean,0.01480089991
sodtotal,X..empty.folders,0.01308265556
openness,folderdepthMean,0.01229780655
openness,rootnodecount,0.0105562842
sodtotal,unfiledfiles,0.00692608061
stability,folderdepthModecount,0.006892972
extraversion,folderdepthModecount,0.00631411441
stability,folderdepthMean,0.00614370654
extraversion,filesperfolderMean,0.00323601957
conscientiousness,X..leaves,0.00226020169
conscientiousness,branchingfactorMean,0.00154267734
extraversion,rootnodecount,0.00099593896
stability,collectionbytes,-5.342354E-05
openness,totalfiles,-0.00377277841
stability,folderdepthMax,-0.00477609486
openness,folderdepthMax,-0.0072505113
stability,foldersattoplevel,-0.00913762327
openness,unfiledfiles,-0.01080105281
agreeableness,rootnodecount,-0.01366257607
stability,filedepthMean,-0.0152257075
openness,X..switches,-0.01657873836
extraversion,X..empty.folders,-0.02034044154
conscientiousness,filesperfolderMean,-0.02048532004
stability,rootnodecount,-0.02048906013
sodtotal,filesperfolderMean,-0.02073341242
openness,collectionbytes,-0.02292688418
agreeableness,unfiledfiles,-0.024833131
extraversion,collectionbytes,-0.02548144369
openness,branchingfactorMean,-0.02677221602
conscientiousness,rootnodecount,-0.02802373104
conscientiousness,X..switches,-0.02913197933
agreeableness,folderdepthMode,-0.03031861786
openness,X..leaves,-0.03119797531
stability,branchingfactorMean,-0.03146646217
stability,X..leaves,-0.03456502721
stability,X..switches,-0.03456560971
agreeableness,X..empty.folders,-0.03517206456
openness,foldersattoplevel,-0.03608620014
agreeableness,X..leaves,-0.03638998911
agreeableness,branchingfactorMean,-0.03729162412
conscientiousness,folderdepthMode,-0.04110582308
openness,totalfolders,-0.04525672792
extraversion,foldersattoplevel,-0.04784777185
stability,X..empty.folders,-0.05085339675
openness,folderdepthModecount,-0.05101494953
extraversion,unfiledfiles,-0.05104148678
sodtotal,X..switches,-0.06264351502
agreeableness,folderdepthMean,-0.06408821669
conscientiousness,folderdepthMean,-0.06898996574
openness,X..empty.folders,-0.06908716782
extraversion,branchingfactorMean,-0.07142231164
extraversion,X..leaves,-0.07375648969
conscientiousness,collectionbytes,-0.07641634271
agreeableness,filedepthMean,-0.07649471446
agreeableness,folderdepthModecount,-0.08172200397
agreeableness,folderdepthMax,-0.08585075779
agreeableness,foldersattoplevel,-0.09198033432
agreeableness,totalfolders,-0.09279940326
conscientiousness,foldersattoplevel,-0.0971116579
agreeableness,totalfiles,-0.09885526278
conscientiousness,folderdepthModecount,-0.1035947176
conscientiousness,filedepthMean,-0.10389752512
conscientiousness,folderdepthMax,-0.10606389605
agreeableness,collectionbytes,-0.11299289977
conscientiousness,totalfolders,-0.11828787508
conscientiousness,unfiledfiles,-0.11873313632
conscientiousness,totalfiles,-0.13754941688
